Observed,Predicted,LowerBound,UpperBound,Anomalous,Error,Threshold
742.684,nan,nan,nan,0,nan,0.0038
742.466,nan,nan,nan,0,nan,0.0038
741.488,nan,nan,nan,0,nan,0.0038
740.529,nan,nan,nan,0,nan,0.0038
739.487,nan,nan,nan,0,nan,0.0038
738.577,nan,nan,nan,0,nan,0.0038
737.857,nan,nan,nan,0,nan,0.0038
737.26,nan,nan,nan,0,nan,0.0038
736.198,nan,nan,nan,0,nan,0.0038
735.587,nan,nan,nan,0,nan,0.0038
735.501,nan,nan,nan,0,nan,0.0038
735.462,nan,nan,nan,0,nan,0.0038
735.524,nan,nan,nan,0,nan,0.0038
735.846,nan,nan,nan,0,nan,0.0038
736.73,nan,nan,nan,0,nan,0.0038
737.312,nan,nan,nan,0,nan,0.0038
738.242,nan,nan,nan,0,nan,0.0038
739.088,nan,nan,nan,0,nan,0.0038
739.806,nan,nan,nan,0,nan,0.0038
740.331,nan,nan,nan,0,nan,0.0038
740.866,nan,nan,nan,0,nan,0.0038
741.541,nan,nan,nan,0,nan,0.0038
741.866,nan,nan,nan,0,nan,0.0038
741.654,nan,nan,nan,0,nan,0.0038
741.46,nan,nan,nan,0,nan,0.0038
740.98,nan,nan,nan,0,nan,0.0038
740.162,nan,nan,nan,0,nan,0.0038
739.044,nan,nan,nan,0,nan,0.0038
738.192,nan,nan,nan,0,nan,0.0038
737.439,nan,nan,nan,0,nan,0.0038
736.194,nan,nan,nan,0,nan,0.0038
735.395,nan,nan,nan,0,nan,0.0038
734.752,nan,nan,nan,0,nan,0.0038
734.009,nan,nan,nan,0,nan,0.0038
733.764,nan,nan,nan,0,nan,0.0038
733.443,nan,nan,nan,0,nan,0.0038
733.727,nan,nan,nan,0,nan,0.0038
734.374,nan,nan,nan,0,nan,0.0038
734.931,nan,nan,nan,0,nan,0.0038
735.688,nan,nan,nan,0,nan,0.0038
736.811,nan,nan,nan,0,nan,0.0038
737.749,nan,nan,nan,0,nan,0.0038
738.969,nan,nan,nan,0,nan,0.0038
739.886,nan,nan,nan,0,nan,0.0038
740.609,nan,nan,nan,0,nan,0.0038
741.536,nan,nan,nan,0,nan,0.0038
742.495,nan,nan,nan,0,nan,0.0038
742.497,nan,nan,nan,0,nan,0.0038
742.388,nan,nan,nan,0,nan,0.0038
742.083,nan,nan,nan,0,nan,0.0038
741.697,nan,nan,nan,0,nan,0.0038
740.85,nan,nan,nan,0,nan,0.0038
739.791,nan,nan,nan,0,nan,0.0038
738.793,nan,nan,nan,0,nan,0.0038
737.631,nan,nan,nan,0,nan,0.0038
736.842,nan,nan,nan,0,nan,0.0038
736.231,nan,nan,nan,0,nan,0.0038
735.744,nan,nan,nan,0,nan,0.0038
735.128,nan,nan,nan,0,nan,0.0038
734.782,nan,nan,nan,0,nan,0.0038
735.007,nan,nan,nan,0,nan,0.0038
735.225,nan,nan,nan,0,nan,0.0038
736.247,nan,nan,nan,0,nan,0.0038
736.766,nan,nan,nan,0,nan,0.0038
737.66,nan,nan,nan,0,nan,0.0038
738.695,nan,nan,nan,0,nan,0.0038
739.539,nan,nan,nan,0,nan,0.0038
740.217,nan,nan,nan,0,nan,0.0038
741.035,nan,nan,nan,0,nan,0.0038
742.307,nan,nan,nan,0,nan,0.0038
742.916,nan,nan,nan,0,nan,0.0038
743.547,nan,nan,nan,0,nan,0.0038
743.533,nan,nan,nan,0,nan,0.0038
743.123,nan,nan,nan,0,nan,0.0038
742.911,nan,nan,nan,0,nan,0.0038
742.251,nan,nan,nan,0,nan,0.0038
740.796,nan,nan,nan,0,nan,0.0038
739.956,nan,nan,nan,0,nan,0.0038
739.193,nan,nan,nan,0,nan,0.0038
738.296,nan,nan,nan,0,nan,0.0038
737.294,nan,nan,nan,0,nan,0.0038
736.57,nan,nan,nan,0,nan,0.0038
736.22,nan,nan,nan,0,nan,0.0038
735.821,nan,nan,nan,0,nan,0.0038
735.748,nan,nan,nan,0,nan,0.0038
736.044,nan,nan,nan,0,nan,0.0038
736.461,nan,nan,nan,0,nan,0.0038
736.8,nan,nan,nan,0,nan,0.0038
737.493,nan,nan,nan,0,nan,0.0038
738.113,nan,nan,nan,0,nan,0.0038
738.983,nan,nan,nan,0,nan,0.0038
739.659,nan,nan,nan,0,nan,0.0038
740.521,nan,nan,nan,0,nan,0.0038
741.554,nan,nan,nan,0,nan,0.0038
742.235,nan,nan,nan,0,nan,0.0038
742.744,nan,nan,nan,0,nan,0.0038
743.187,nan,nan,nan,0,nan,0.0038
743.057,nan,nan,nan,0,nan,0.0038
742.486,nan,nan,nan,0,nan,0.0038
741.991,nan,nan,nan,0,nan,0.0038
741.163,nan,nan,nan,0,nan,0.0038
740.031,nan,nan,nan,0,nan,0.0038
739.052,nan,nan,nan,0,nan,0.0038
738.171,nan,nan,nan,0,nan,0.0038
737.225,nan,nan,nan,0,nan,0.0038
736.422,nan,nan,nan,0,nan,0.0038
735.655,nan,nan,nan,0,nan,0.0038
734.926,nan,nan,nan,0,nan,0.0038
734.433,nan,nan,nan,0,nan,0.0038
734.356,nan,nan,nan,0,nan,0.0038
734.636,nan,nan,nan,0,nan,0.0038
735.151,nan,nan,nan,0,nan,0.0038
735.721,nan,nan,nan,0,nan,0.0038
736.436,nan,nan,nan,0,nan,0.0038
737.35,nan,nan,nan,0,nan,0.0038
738.304,nan,nan,nan,0,nan,0.0038
738.957,nan,nan,nan,0,nan,0.0038
739.683,nan,nan,nan,0,nan,0.0038
740.52,nan,nan,nan,0,nan,0.0038
741.151,nan,nan,nan,0,nan,0.0038
741.817,nan,nan,nan,0,nan,0.0038
742.055,nan,nan,nan,0,nan,0.0038
741.739,nan,nan,nan,0,nan,0.0038
741.511,nan,nan,nan,0,nan,0.0038
740.937,nan,nan,nan,0,nan,0.0038
739.808,nan,nan,nan,0,nan,0.0038
738.916,nan,nan,nan,0,nan,0.0038
738.124,nan,nan,nan,0,nan,0.0038
737.233,nan,nan,nan,0,nan,0.0038
736.703,nan,nan,nan,0,nan,0.0038
735.974,nan,nan,nan,0,nan,0.0038
735.289,nan,nan,nan,0,nan,0.0038
735.053,nan,nan,nan,0,nan,0.0038
734.7,nan,nan,nan,0,nan,0.0038
734.614,nan,nan,nan,0,nan,0.0038
735.176,nan,nan,nan,0,nan,0.0038
735.924,nan,nan,nan,0,nan,0.0038
736.305,nan,nan,nan,0,nan,0.0038
737.188,nan,nan,nan,0,nan,0.0038
738.308,nan,nan,nan,0,nan,0.0038
739.086,nan,nan,nan,0,nan,0.0038
739.885,nan,nan,nan,0,nan,0.0038
740.748,nan,nan,nan,0,nan,0.0038
741.336,nan,nan,nan,0,nan,0.0038
741.868,nan,nan,nan,0,nan,0.0038
742.121,nan,nan,nan,0,nan,0.0038
741.853,nan,nan,nan,0,nan,0.0038
741.463,nan,nan,nan,0,nan,0.0038
741.076,nan,nan,nan,0,nan,0.0038
740.287,nan,nan,nan,0,nan,0.0038
739.228,nan,nan,nan,0,nan,0.0038
738.36,nan,nan,nan,0,nan,0.0038
737.354,nan,nan,nan,0,nan,0.0038
736.472,nan,nan,nan,0,nan,0.0038
736.034,nan,nan,nan,0,nan,0.0038
735.153,nan,nan,nan,0,nan,0.0038
734.285,nan,nan,nan,0,nan,0.0038
733.729,nan,nan,nan,0,nan,0.0038
733.771,nan,nan,nan,0,nan,0.0038
733.808,nan,nan,nan,0,nan,0.0038
734.056,nan,nan,nan,0,nan,0.0038
734.699,nan,nan,nan,0,nan,0.0038
736.132,nan,nan,nan,0,nan,0.0038
737.268,nan,nan,nan,0,nan,0.0038
738.119,nan,nan,nan,0,nan,0.0038
739.878,nan,nan,nan,0,nan,0.0038
740.399,nan,nan,nan,0,nan,0.0038
740.827,nan,nan,nan,0,nan,0.0038
741.55,nan,nan,nan,0,nan,0.0038
741.281,nan,nan,nan,0,nan,0.0038
741.893,nan,nan,nan,0,nan,0.0038
742.334,nan,nan,nan,0,nan,0.0038
741.026,nan,nan,nan,0,nan,0.0038
740.816,nan,nan,nan,0,nan,0.0038
740.074,nan,nan,nan,0,nan,0.0038
738.562,nan,nan,nan,0,nan,0.0038
737.654,nan,nan,nan,0,nan,0.0038
737.05,nan,nan,nan,0,nan,0.0038
734.971,nan,nan,nan,0,nan,0.0038
733.906,nan,nan,nan,0,nan,0.0038
733.337,nan,nan,nan,0,nan,0.0038
732.903,nan,nan,nan,0,nan,0.0038
732.907,nan,nan,nan,0,nan,0.0038
733.385,nan,nan,nan,0,nan,0.0038
734.117,nan,nan,nan,0,nan,0.0038
734.756,nan,nan,nan,0
