observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
756.479,767.484,753.396,781.572,0,0,0.2,0.281765
757.017,767.174,752.997,781.351,0,0,0.2,0.283548
758.068,767.804,753.514,782.094,0,0,0.194723,0.285807
759.168,766.904,752.519,781.288,0,0,0.154714,0.287694
760.053,767.603,753.335,781.871,0,0,0.151004,0.285355
760.987,768.113,753.982,782.244,0,0,0.142525,0.282618
761.377,768.661,754.682,782.64,0,0,0.145674,0.279579
761.231,768.193,754.568,781.819,0,0,0.139248,0.272519
760.78,768.517,754.845,782.188,0,0,0.154736,0.273431
760.318,768.66,755.074,782.246,0,0,0.166842,0.271715
759.352,767.882,754.319,781.445,0,0,0.170605,0.271265
758.221,769.064,755.597,782.53,0,0,0.2,0.269335
756.879,768.598,754.811,782.385,0,0,0.2,0.275737
755.584,769.276,755.435,783.117,0,0,0.2,0.276819
754.249,768.375,754.546,782.203,0,0,0.2,0.276576
753.205,767.891,754.175,781.607,0,0,0.2,0.274318
752.135,768.439,754.825,782.053,0,0,0.2,0.272286
751.201,768.052,754.365,781.738,0,0,0.2,0.273729
750.35,767.86,754.232,781.488,0,0,0.2,0.27256
750.325,767.729,753.924,781.535,0,0,0.2,0.276115
750.554,767.576,753.715,781.438,0,0,0.2,0.277224
751.292,767.434,753.596,781.273,0,0,0.2,0.276768
752.214,767.624,753.756,781.492,0,0,0.2,0.277359
753.385,767.449,753.732,781.167,0,0,0.2,0.274351
754.613,766.723,752.975,780.47,0,0,0.2,0.27495
756.008,768.385,754.436,782.334,0,0,0.2,0.278983
757.084,767.694,753.713,781.675,0,0,0.2,0.279623
758.06,768.285,754.522,782.049,0,0,0.2,0.275268
759.214,767.129,753.144,781.114,0,0,0.1583,0.2797
760,768.412,754.784,782.04,0,0,0.168235,0.272561
760.831,767.851,753.983,781.719,0,0,0.140398,0.277361
761.276,768.789,755.176,782.403,0,0,0.150266,0.272269
761.217,767.867,754.317,781.418,0,0,0.133008,0.271011
